,mae_percent,rmse_percent,mape_percent,smape_percent
std,,,,
median,3.224815203831801,14.615370315750695,7.847211038947728,0.7934107851438699
min,3.224815203831801,14.615370315750695,7.847211038947728,0.7934107851438699
max,3.224815203831801,14.615370315750695,7.847211038947728,0.7934107851438699
quantile_25,3.224815203831801,14.615370315750695,7.847211038947728,0.7934107851438699
quantile_75,3.224815203831801,14.615370315750695,7.847211038947728,0.7934107851438699
